Method_Name,Method_Type
getSelectedItemPosition,accessor
tinyOut,others
localize,others
getDropDownView,accessor
localizeName,others
setOnItemSelectedListener,accessor
sort,others
tinyIn,others
getNumberInstance,accessor
post,others
getLeft,accessor
getRight,accessor
getLayoutDirection,accessor
max,others
getTop,accessor
getBottom,accessor
setTouchDelegate,accessor
setActivated,accessor
setImageResource,accessor
setContentDescription,accessor
getQuotaPercentage,accessor
getVisibility,accessor
getAdapterPosition,accessor
getParentFragmentManager,accessor
onActionSync,others
onActionPrimary,others
onActionEditChannel,others
onActionCopy,others
onActionDelete,others
onActionLog,others
onActionReset,accessor
onDelete,others
getViewLifecycleOwner,accessor
setHasStableIds,accessor
calculateDiff,others
dispatchUpdatesTo,assertion
unwire,others
bindTo,others
wire,others
setAlpha,accessor
onActionCompose,others
onActionFavorite,others
onActionHide,others
toLowerCase,others
isAttachment,assertion
setMarginStart,accessor
guessExtension,others
setImageDrawable,accessor
setProgress,accessor
isEncryption,assertion
onSave,others
onShare,others
onDownload,others
createChooser,builder
sanitizeFilename,others
compareTo,others
isExpired,assertion
setTooltipText,accessor
getContentDescription,accessor
openContactPhotoInputStream,others
setImageBitmap,accessor
decodeStream,others
getRelativeTimeSpanString,accessor
setImageTintList,accessor
requestLayout,others
notifyItemChanged,others
can,others
onActionNeverFavorite,others
onActionShare,others
onActionPin,others
onActionEdit,others
onActionSearch,others
getShortcut,accessor
requestPinShortcut,others
setTargetFragment,accessor
setExecutor,accessor
isDisabled,assertion
setTextSize,accessor
getIcon,accessor
localizeType,others
onCollapse,others
onFlagged,others
onLastSync,others
onFolderSelected,others
onFolderLongPress,others
getGroupId,accessor
onActionEnableSync,others
onActionEnableNotify,others
onActionSyncMore,others
onActionProperty,others
onActionSubscribe,others
OnActionDeleteLocal,others
onActionExpunge,others
onActionEmpty,others
onActionEditRules,others
onActionExecuteRules,others
onActionExportMessages,others
onActionEditProperties,others
onActionCreateChannel,builder
onActionDeleteChannel,others
onActionCreateFolder,builder
onActionPinFolder,others
onActionDeleteFolder,others
getNetworkState,accessor
subscribe,others
expunge,others
getArguments,accessor
getTextSize,accessor
compare,others
getHierarchical,accessor
onNotFound,others
onFound,others
onActionClearSignKey,others
clearIdentities,others
getDefault,accessor
setStrength,accessor
getLayout,accessor
getTitle,accessor
setHint,accessor
requestFocus,others
showKeyboard,others
updateTitle,others
hideKeyboard,others
updateColor,others
initialColor,others
getDefaultKeywordAlias,accessor
getTimeInstance,accessor
getScaleFactor,accessor
setSize,accessor
getSource,accessor
fitDrawable,others
getPointerCount,accessor
getParent,accessor
isZoomedY,assertion
onClick,others
onOpenLink,others
isTracking,assertion
onOpenImage,others
setValue,accessor
bindBody,others
setSingleLine,accessor
setEllipsize,accessor
setItemAnimator,accessor
setOnTouchListener,accessor
setTextIsSelectable,accessor
addOnLayoutChangeListener,assertion
setAccessibilityDelegate,accessor
setImportantForAccessibility,accessor
removeOnLayoutChangeListener,assertion
isOutgoing,assertion
fillIn,others
isSelected,assertion
bindSeen,others
getTag,accessor
setTag,accessor
clearColorFilter,others
setPaintFlags,accessor
getPaintFlags,accessor
invalidate,others
getKeywords,accessor
isForwarded,assertion
getFolderName,accessor
bindFlagged,others
bindExpandWarning,others
setMaxLines,accessor
getCached,accessor
putSerializable,others
setLog,accessor
getSerializable,accessor
bindContactInfo,others
bindExpanded,others
clearExpanded,others
scrollTo,others
onMenuRawSave,others
getMaxLines,accessor
clearCalendar,others
clearActions,others
getReferencedIds,accessor
removeView,others
getImageTintList,accessor
getColorForState,accessor
setCardBackgroundColor,accessor
hasPhoto,others
getPhotoBitmap,accessor
getLookupUri,accessor
getEmailAddress,accessor
isVerified,assertion
isKnown,assertion
ensureExpanded,others
bindAddresses,others
bindHeaders,others
bindAttachments,others
getAttachments,accessor
setMinimumHeight,accessor
setMinHeight,accessor
isInline,assertion
isImage,assertion
ready,others
setupTools,accessor
isGmail,assertion
evalProperties,others
canPrint,others
isAvailable,assertion
getAddress,accessor
getPersonal,accessor
setAddress,accessor
getDisplayLanguage,accessor
getDrawingRect,accessor
offsetDescendantRectToMyCoords,accessor
indexOf,others
substring,others
endSearch,others
getPosition,accessor
setId,accessor
addView,others
setPadding,accessor
getPaddingLeft,accessor
getPaddingTop,accessor
getPaddingRight,accessor
getPaddingBottom,accessor
setHeight,accessor
setPosition,accessor
scrollBy,others
setImages,accessor
putFloat,others
getFloat,accessor
setAttachments,accessor
getReceivedHeader,accessor
createShell,builder
createElement,builder
appendElement,others
attr,others
text,others
appendChild,others
getReplyHeader,accessor
cleanup,others
removeRelativeLinks,others
select,others
truncate,others
autoLink,others
guessSchemes,others
setViewport,accessor
embedInlineImages,others
removeTrackingPixels,others
outputSettings,accessor
getConversationActions,accessor
collapseQuotes,others
setOnPageLoaded,accessor
bindConversationActions,others
loadDataWithBaseURL,others
onActionDecrypt,others
isGoogle,assertion
toArray,others
getTextReply,accessor
generateViewId,others
onReply,others
onCopy,others
getActionIntent,accessor
newPlainText,others
bindCalendar,others
restart,others
getEvents,accessor
getSummary,accessor
getDescription,accessor
getLocation,accessor
getExperimentalProperty,accessor
getDateStart,accessor
getDateEnd,accessor
getAttendees,accessor
getEmail,accessor
getCommonName,accessor
trim,others
getOrganizer,accessor
getMethod,accessor
setData,accessor
setOrganizer,accessor
setUid,accessor
getUid,accessor
getSequence,accessor
setSequence,accessor
setSummary,accessor
setDescription,accessor
setLocation,accessor
setDateStart,accessor
setDateEnd,accessor
sameAddress,others
similarAddress,others
setParticipationStatus,accessor
addAttendee,others
setMethod,accessor
addEvent,others
hasSelection,others
onViewContact,others
onShowVerified,others
onShowAuth,others
onShowPriority,others
onShowSnoozed,others
onToggleFlag,others
onHelp,others
onSettings,accessor
onReceipt,others
onSearchContact,others
onNotifyContact,others
onPinContact,others
onAddContact,others
onToggleAddresses,others
onCopyHeaders,others
onMenuShowHeaders,others
onSaveAttachments,others
onDownloadAttachments,others
onShow,others
lock,others
onMenuCreateRule,builder
onActionUnsubscribe,others
onMenuPrint,others
onMenuPin,others
onMenuShare,others
onSearchText,others
canTranslate,others
onActionTranslate,others
onActionForceLight,others
onActionAnswer,others
onMenuNotes,others
onActionLabels,others
onMenuManageKeywords,others
onActionMove,others
onActionArchive,others
onActionTrash,others
onActionJunk,others
onActionInbox,others
onActionMore,others
onActionTools,others
onMenuUnseen,others
onMenuHide,others
onActionCalendar,others
onToggleMessage,others
