Method_Name,Method_Type
getGreatestSubtype,accessor
getLeastSupertype,accessor
canCastTo,others
run,others
checkForStateChangeHelper,others
isCall,assertion
isTaggedTemplateLit,assertion
isOptChainCall,assertion
isNoSideEffectsCall,assertion
isOnlyModifiesArgumentsCall,assertion
allArgsUnescapedLocal,others
isOptChainGetProp,accessor
hasOneChild,others
isOnlyModifiesThisCall,assertion
evaluatesToLocalValue,others
hasRegExpGlobalReferences,others
isTypedAsString,assertion
iteratesImpureIterable,others
hasChildren,others
isClassDeclaration,assertion
constructorCallHasSideEffects,others
functionCallHasSideEffects,others
getPropertyKind,accessor
isSimpleOperator,assertion
isAssignmentOp,assertion
isNormalGet,accessor
isLiteralValue,assertion
isNew,assertion
getAccessorSummary,accessor
setAccessorSummary,accessor
parseTestCode,accessor
resetCompiler,accessor
findFirst,others
parseInternal,others
setHasRegExpGlobalReferences,accessor
getPrevious,accessor
empty,others
kase,others
parseCase,others
parseFirst,others
clearAllFlags,others
setSideEffectFlags,accessor
setMutatesThis,accessor
setMutatesGlobalState,accessor
setJSType,accessor
setColor,accessor
setMutatesArguments,accessor
memoize,others
isAddingColors,assertion
block,others
ifNode,others
forNode,others
breakNode,others
returnNode,others
yield,others
setJSTypeOrColor,accessor
await,others
type,others
number,others
trueNode,others
falseNode,others
nullNode,others
voidNode,others
createVoid,builder
createNumber,builder
not,others
thisNode,assertion
superNode,others
isClass,assertion
getTypeOfThisForEs6Class,accessor
createThisForEs6Class,builder
assertNotAddingColors,assertion
isAddingTypes,assertion
getFunctionType,accessor
getTypeOfThis,accessor
getTypeOfThisForFunctionNode,accessor
getInstanceOfColor,accessor
noTypeInformation,others
getJSTypeBeforeCast,accessor
assertFunctionType,assertion
getJSTypeRequired,accessor
let,others
createName,builder
constNode,others
createSingleConstNameDeclaration,builder
createArgumentsReference,builder
getVarDefinitionNode,accessor
createQName,builder
createGetPropsWithoutColors,accessor
skip,others
asList,assertion
createGetProp,accessor
createQNameWithUnknownType,builder
createNameWithUnknownType,builder
createGetPropsWithUnknownType,accessor
getprop,accessor
getJsTypeForProperty,accessor
createGetPropWithoutColor,accessor
createGetPropWithUnknownType,accessor
delprop,others
stringKey,others
computedProp,others
createZeroArgFunction,builder
createReturn,builder
newString,others
in,others
comma,others
createComma,builder
and,others
createUnionType,builder
sub,others
inc,others
lt,others
newCallNode,others
createCall,builder
createFunctionTypeWithVarArgs,builder
newNode,others
isFunctionType,assertion
toMaybeFunctionType,others
getInstanceType,accessor
createAssign,builder
objectlit,others
createAnonymousObjectType,builder
setQuotedString,accessor
emptyFunction,others
createEmptyFunction,builder
setIsGeneratorFunction,accessor
function,others
paramList,assertion
addChildToBack,others
createFunctionType,builder
createFunction,builder
arrowFunction,others
memberFunctionDef,others
sheq,others
eq,others
ne,others
hook,others
createArraylit,builder
createTemplatizedType,builder
