Method_Name,Method_Type
visitMap,assertion
getDeclaringClass,accessor
visitSimple,assertion
getTargetPlatform,accessor
ofSourceTreePath,others
ofSourcePath,others
md5,others
putString,others
castArg,others
resolveVersions,others
isVersionPropagator,assertion
getVersionInfo,accessor
getVersionDomain,accessor
getVersionedFlavor,accessor
getNodeOptional,accessor
getTranslateBuildTarget,accessor
putIfAbsent,others
convertToBuckConfig,others
getBuckConfigLocalSection,accessor
saveBuckConfigLocal,others
getBuckOutputPath,accessor
newByteChannel,others
getVersion,accessor
createWatchmanConfig,builder
newFileSystem,others
getFileExtension,accessor
extensionIsFixture,assertion
getNameWithoutExtension,accessor
getLevel,accessor
copyFilePath,others
newInputStream,others
available,others
read,others
getPosixFilePermissions,accessor
setPosixFilePermissions,accessor
ensureNoLocalBuckConfig,others
stampBuckVersion,others
addDefaultLocalBuckConfigs,others
preAddTemplateActions,others
copyRecursively,others
isRegularFile,assertion
delete,others
walkFileTree,others
postAddTemplateActions,others
addDirectoryContentToQueue,others
createDirectories,builder
copyTemplateContentsToDestPath,others
toURI,others
getOrCreateJarFileSystem,accessor
provider,others
copyTemplateToWorkspace,others
newDirectoryStream,others
getFileContentsWithAbsolutePath,accessor
deleteIfExists,assertion
deleteRecursivelyIfExists,assertion
move,others
getFileContents,accessor
getArgForPopulating,accessor
getThis,accessor
humanHelper,others
u2,others
testFieldFlags,others
testMethodFlags,others
testClassFlags,others
getAccessFlags,accessor
findMethod,others
getTypeElement,accessor
testTypeFlags,others
findField,others
assertNoErrors,assertion
initCompiler,others
calculateClassHashes,others
writeLinesToPath,others
singleton,others
isClassFile,assertion
getFileNameWithoutClassSuffix,accessor
getInput,accessor
fromString,others
newFile,others
putNextEntry,others
closeEntry,others
newFolder,others
pathWithUnixSeparators,others
readLines,others
parseClassHashes,others
getUnversionedTargetGraph,accessor
getVersionedTargetGraph,accessor
getArtifactFilesystem,accessor
getCommand,accessor
getStdErr,accessor
setExitCode,accessor
getException,accessor
postEvent,others
success,others
declareArtifact,others
setFilesystem,accessor
getLogMessages,accessor
failure,others
load,others
getConstructorArg,accessor
createMetadata,builder
getSelectedVersions,accessor
newFixedThreadPool,others
listeningDecorator,assertion
fail,others
notNullValue,others
getRuleWithType,accessor
assertSame,assertion
assertNull,assertion
countDown,others
await,others
sleep,others
invalidateAll,others
populateActionGraphBuilderWithCachedRules,builder
unique,others
getIncrementalActionGraphExperimentGroups,accessor
getGroupStable,accessor
currentTimeMillis,assertion
isActionGraphCheckingEnabled,assertion
isSkipActionGraphCache,assertion
getIncrementalActionGraphMode,accessor
getActionGraph,accessor
compareActionGraphs,others
missWithEmptyCache,assertion
missWithTargetGraphDifference,accessor
createActionGraph,builder
getFreshActionGraph,accessor
invalidateCache,others
scope,others
getRuleKeysFromBuildRules,accessor
difference,others
entriesInCommon,others
entriesDiffering,others
entriesOnlyOnLeft,others
entriesOnlyOnRight,others
createProjectWorkspaceForScenarioWithoutDefaultCell,builder
getActionGraphCacheStatus,accessor
parseTraceFromMostRecentBuckInvocation,accessor
getResultForMatcher,accessor
createTargetNode,accessor
toNanos,others
clear,others
withEventBus,others
createWithSeed,builder
countEventsOf,others
withMaxEntries,others
runAndCheckExpectedHitMissCount,assertion
getSubgraph,accessor
not,others
getTag,accessor
hasProperty,others
newMultiThreadExecutor,others
withPoolSupplier,others
createCacheableTargetNode,accessor
assertNotSame,assertion
addDep,others
toStartNodes,others
serialize,others
getGraphTraversable,accessor
