Method_Name,Method_Type
processGetElem,accessor
processClass,others
maybeMarkCandidate,others
isLhsOfAssign,assertion
isStatement,assertion
isQualifiedName,assertion
isPropertyRenameFunction,assertion
getProperty,accessor
isObjectDefinePropertiesDefinition,assertion
isObjectLit,assertion
processObjectProperty,others
isObjectPattern,assertion
isQuotedString,assertion
toStringTree,builder
isCall,assertion
getPrototypes,accessor
createUnion,builder
isComputedProp,assertion
isComputedFieldDef,assertion
isEs6ConstructorMemberFunctionDef,assertion
isStaticMember,assertion
isMemberFieldDef,assertion
getInstanceColors,accessor
isMemberFunctionDef,assertion
isGetterDef,accessor
isSetterDef,accessor
recordProperty,others
addRelatedColor,others
isInvalidating,assertion
getPropertiesKeepOriginalName,accessor
newReverseTraversal,accessor
getClassMembers,accessor
getAnnotation,accessor
enableTypeCheck,others
replaceTypesWithColors,others
enableGatherExternProperties,others
makePassForTesting,accessor
getGatheredExternProperties,accessor
process,others
enableClosurePass,others
replaceAll,others
ignoreWarnings,others
getRenamingMap,accessor
enableRewriteClosureProvides,others
createWithoutAnnotations,builder
getChunkCount,accessor
getRootChunk,accessor
markReference,others
getNameInfoForName,accessor
connect,others
newTraversal,others
getCurrentNode,accessor
getPrototypePropertyNameFromRValue,accessor
push,accessor
isGlobalFunctionDeclaration,assertion
isName,assertion
inGlobalScope,others
pop,accessor
processNonFunctionPrototypeAssign,others
isMethodDeclaration,assertion
addSymbolUse,others
handlePossibleAssignmentToPrototype,others
isExported,assertion
addGlobalUseOfSymbol,others
getBestLValueName,accessor
getBestLValue,accessor
processMemberDef,others
getInitialValue,accessor
inGlobalHoistScope,assertion
processGlobalFunctionDeclaration,others
isAssignRValue,assertion
getScopeRoot,accessor
isFunctionDeclaration,assertion
mayBeObjectLitKey,others
isExprAssign,assertion
getGrandparent,accessor
lastIndexOf,others
getRootOfQualifiedName,accessor
isNameDeclOrSimpleAssignLhs,assertion
maybeGetVar,accessor
getNameNode,accessor
isGetProp,accessor
isReferenced,assertion
getDeepestCommonModuleRef,accessor
dependsOn,others
isClassMembers,assertion
getOnlyChild,accessor
getAssignNode,accessor
getDeclarations,accessor
getFunctionNode,accessor
createDependenciesList,builder
arraylit,others
exprResult,others
assign,others
getelem,accessor
newQName,others
setOriginalName,accessor
recordVisibility,assertion
setJSDocInfo,accessor
getTarget,accessor
isExprCall,assertion
getClassesDefinedByCall,accessor
insertAfter,others
getFunctionParameters,accessor
createStringsFromParamList,builder
srcref,others
isDestructuringPattern,assertion
isNgInject,assertion
addNode,others
getQualifiedName,accessor
getDeclarationRValue,accessor
isExport,assertion
isStatementBlock,assertion
testError,others
enableRewriteClosureCode,others
log,others
getErrorCount,accessor
getWarningCount,accessor
getTypedPercent,accessor
read,others
applySuggestedFixesToCode,others
write,others
allMatch,others
stream,others
isEqual,assertion
collect,others
range,others
applySuggestedFixChoicesToCode,others
toImmutableList,builder
putIfNoOverlap,others
applyCodeReplacements,others
containsOverlaps,others
getStartPosition,accessor
getNewContent,accessor
getEndPosition,accessor
canPut,others
getReplacements,accessor
naturalOrder,others
getAlternatives,accessor
mapToObj,others
map,others
asMap,others
asCharSink,others
fail,others
assertEquals,assertion
getCompiler,accessor
compileToScriptRoot,others
containsEntry,others
getOnlyElement,accessor
getTypeNodes,accessor
rename,others
getCompilerOptions,accessor
delete,others
createParametersWithVarArgs,builder
getNativeType,accessor
resolveIfClosed,others
safeResolve,others
isUnknownType,assertion
hasAnyTemplateTypes,others
hasTemplatedParameterType,others
getResolver,accessor
assertSame,assertion
assertValidResolve,assertion
about,others
types,others
verifyHasEncounteredAllWarningsAndErrors,others
assertType,assertion
assertTrue,assertion
isSubtypeOf,assertion
getGreatestSubtype,accessor
getLeastSupertype,accessor
canCastTo,others
run,others
isInstanceOf,assertion
checkForStateChangeHelper,accessor
isTaggedTemplateLit,assertion
isOptChainCall,assertion
isNoSideEffectsCall,assertion
isOnlyModifiesArgumentsCall,assertion
allArgsUnescapedLocal,others
isOptChainGetProp,accessor
isOnlyModifiesThisCall,assertion
evaluatesToLocalValue,others
hasRegExpGlobalReferences,others
isTypedAsString,assertion
iteratesImpureIterable,others
hasChildren,others
isClassDeclaration,assertion
constructorCallHasSideEffects,others
functionCallHasSideEffects,others
hasGetter,accessor
getPropertyKind,accessor
isObjectRest,assertion
hasGetterOrSetter,accessor
isSimpleOperator,assertion
isAssignmentOp,assertion
isNormalGet,accessor
isLiteralValue,assertion
isNew,assertion
getAccessorSummary,accessor
setAccessorSummary,accessor
parseTestCode,accessor
resetCompiler,accessor
findFirst,others
parseInternal,others
setHasRegExpGlobalReferences,accessor
getPrevious,accessor
empty,others
expect,others
js,others
kase,others
token,builder
parseCase,others
globalRegExp,others
parseFirst,others
clearAllFlags,others
setSideEffectFlags,accessor
isFalse,assertion
setMutatesThis,accessor
setMutatesGlobalState,accessor
setJSType,accessor
setUseTypesForLocalOptimization,accessor
setColor,accessor
setMutatesArguments,accessor
assumeGettersArePure,accessor
memoize,others
isAddingColors,assertion
block,others
ifNode,others
forNode,accessor
breakNode,others
returnNode,others
yield,others
setJSTypeOrColor,accessor
await,others
type,others
number,others
trueNode,others
falseNode,others
nullNode,others
voidNode,others
createVoid,builder
createNumber,builder
not,others
thisNode,assertion
superNode,others
isClass,assertion
