Method_Name,Method_Type
computeIfAbsent,others
subList,assertion
putIfAbsent,others
getSizeInBytes,accessor
getTotalLength,accessor
createTinyStripesRangeFinder,builder
newOrcLocalMemoryContext,others
getSimpleName,accessor
create,builder
register,assertion
validateWrite,others
getChecksum,accessor
getTotalRowCount,accessor
getColumnHashes,accessor
getStripeHash,accessor
reset,accessor
hasNext,others
advanceToNextStripe,others
next,others
getRowCount,accessor
getMinAverageRowBytes,accessor
getRowOffset,accessor
getStreamSources,accessor
startRowGroup,others
max,others
advanceToNextRowGroup,others
validateWriteStripe,others
getDecryptionKeyMetadata,accessor
createDwrfEncryptionInfo,builder
readStripe,others
startStripe,others
getRowGroups,accessor
getStreamReaderRetainedSizeInBytes,accessor
getCurrentStripeRetainedSizeInBytes,accessor
createStreamDescriptor,builder
getFieldName,accessor
toList,assertion
buildEvent,builder
getStackTraceAsString,accessor
post,others
getSessionProperties,accessor
tableMetadataBuilder,builder
createUnboundedVarcharType,builder
getTransactionId,accessor
getCatalogNames,accessor
getOrDefault,accessor
addRow,others
firstNonNull,others
getDefaultValue,accessor
getSqlType,accessor
getDescription,accessor
uniqueIndex,others
evaluatePropertyValue,others
decode,others
rewriteWith,others
evaluateConstantExpression,others
writeNativeValue,others
getObjectValue,accessor
assertMinMaxStatistics,assertion
assertThrows,assertion
getCreateStatistics,accessor
getMin,accessor
getMax,accessor
hashCode,others
getRootGroups,accessor
poll,others
getSubGroups,accessor
getSoftCpuLimit,accessor
getHardCpuLimit,accessor
getCpuQuotaPeriod,accessor
getSchedulingPolicy,accessor
getSchedulingWeight,accessor
getSelectors,accessor
validateSelectors,others
getUserRegex,accessor
getSourceRegex,accessor
getClientTags,accessor
getResourceEstimate,accessor
getQueryType,accessor
getGroup,accessor
toUpperCase,others
addChangeListener,assertion
getMaxBytes,accessor
getContext,accessor
fromSegments,others
getSoftMemoryLimit,accessor
setSoftMemoryLimit,accessor
getSoftMemoryLimitFraction,accessor
setMaxQueuedQueries,accessor
getMaxQueued,accessor
setSoftConcurrencyLimit,accessor
getSoftConcurrencyLimit,accessor
getHardConcurrencyLimit,accessor
setHardConcurrencyLimit,accessor
setPerQueryLimits,accessor
getPerQueryLimits,accessor
getJmxExport,accessor
isEqual,assertion
setCpuQuotaGenerationMillisPerSecond,accessor
getFieldBlockOffsets,accessor
getFieldBlockOffset,accessor
getRawFieldBlocks,accessor
copyPositions,others
createRowBlockInternal,builder
getRowIsNull,accessor
getRegionSizeInBytes,accessor
getRegionLogicalSizeInBytes,accessor
getApproximateRegionLogicalSizeInBytes,accessor
getPositionsSizeInBytes,accessor
copyRegion,others
arraySame,others
