folder,loc
.\code_for_parsing\ctripcorp--C-OCR,970
.\code_for_parsing\Curzibn--Luban,225
.\code_for_parsing\CymChad--BaseRecyclerViewAdapterHelper,948
.\code_for_parsing\cymcsg--UltimateRecyclerView,4984
.\code_for_parsing\cyrilmottier--GreenDroid,3377
.\code_for_parsing\daimajia--AndroidImageSlider,969
.\code_for_parsing\daimajia--AndroidSwipeLayout,209
.\code_for_parsing\daimajia--AndroidViewAnimations,1464
.\code_for_parsing\daimajia--NumberProgressBar,87
.\code_for_parsing\danikula--AndroidVideoCache,408
.\code_for_parsing\daniulive--SmarterStreaming,2385
.\code_for_parsing\databricks--learning-spark,198
.\code_for_parsing\dataease--dataease,2992
.\code_for_parsing\davemorrissey--subsampling-scale-image-view,1140
.\code_for_parsing\davideas--FlexibleAdapter,8773
.\code_for_parsing\dbeaver--dbeaver,105510
.\code_for_parsing\debezium--debezium,39551
.\code_for_parsing\deepjavalibrary--djl,38860
.\code_for_parsing\Devlight--InfiniteCycleViewPager,603
.\code_for_parsing\Devlight--NavigationTabBar,238
.\code_for_parsing\Devlight--NavigationTabStrip,129
.\code_for_parsing\dianping--cat,18760
.\code_for_parsing\didi--LogiKM,5028
.\code_for_parsing\didi--VirtualAPK,1336
.\code_for_parsing\Dimezis--BlurView,175
.\code_for_parsing\dingjikerbo--Android-BluetoothKit,703
.\code_for_parsing\dinuscxj--LoadingDrawable,175
.\code_for_parsing\DiUS--java-faker,1162
.\code_for_parsing\dm77--barcodescanner,108
.\code_for_parsing\dmilicic--Android-Clean-Boilerplate,126
.\code_for_parsing\dmytrodanylyk--android-process-button,134
.\code_for_parsing\dmytrodanylyk--circular-progress-button,18
.\code_for_parsing\Doikki--DKVideoPlayer,3263
.\code_for_parsing\dongjunkun--DropDownMenu,82
.\code_for_parsing\donglua--PhotoPicker,500
.\code_for_parsing\doocs--leetcode,0
.\code_for_parsing\dreamhead--moco,71
.\code_for_parsing\DrKLO--Telegram,72210
.\code_for_parsing\DroidPluginTeam--DroidPlugin,6305
.\code_for_parsing\dromara--hmily,18812
.\code_for_parsing\dromara--hutool,90789
.\code_for_parsing\dromara--Sa-Token,8720
.\code_for_parsing\dropwizard--metrics,3972
.\code_for_parsing\DuGuQiuBai--Java,3365
.\code_for_parsing\dyc87112--SpringBoot-Learning,299
.\code_for_parsing\dyc87112--SpringCloud-Learning,2535
.\code_for_parsing\eclipse--deeplearning4j,203280
.\code_for_parsing\eclipse--deeplearning4j-examples,8535
.\code_for_parsing\eclipse--paho.mqtt.android,3490
.\code_for_parsing\eclipse-vertx--vert.x,32056
.\code_for_parsing\edmodo--cropper,669
.\code_for_parsing\eirslett--frontend-maven-plugin,327
.\code_for_parsing\eishay--jvm-serializers,2676
.\code_for_parsing\elastic--elasticsearch,295724
.\code_for_parsing\eleme--UETool,64
.\code_for_parsing\elevenetc--TextSurface,214
.\code_for_parsing\elunez--eladmin,8143
.\code_for_parsing\elvishew--xLog,3938
.\code_for_parsing\elye--loaderviewlibrary,81
.\code_for_parsing\EnterpriseQualityCoding--FizzBuzzEnterpriseEdition,733
.\code_for_parsing\etsy--AndroidStaggeredGrid,848
.\code_for_parsing\eugenp--tutorials,19232
.\code_for_parsing\evant--gradle-retrolambda,56
.\code_for_parsing\Exrick--xmall,1685
.\code_for_parsing\Exrick--xpay,300
.\code_for_parsing\facebook--buck,180445
.\code_for_parsing\facebook--litho,44254
.\code_for_parsing\facebook--shimmer-android,91
.\code_for_parsing\facebook--stetho,3841
.\code_for_parsing\facebookarchive--network-connection-class,225
.\code_for_parsing\facebookarchive--rebound,1330
.\code_for_parsing\failsafe-lib--failsafe,4449
.\code_for_parsing\FasterXML--jackson-databind,50455
.\code_for_parsing\febsteam--FEBS-Shiro,2406
